company,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type
Bradford Manufacturing 862,Pinnacle Partners 863,03344471,ltd,dissolved,"4544,7487",Wholesale & Retail,1997-04-03,28.8,London,total-exemption-small
WesternPack 864,Max Industries,09173560,ltd,active,47110,Wholesale & Retail,2014-08-13,11.5,South Yorkshire,unaudited-abridged
King & Davies 865,Vanguard Systems,15286100,ltd,dissolved,96020,Other Services,2023-11-15,2.2,Ellesmere Port,
Edinburgh Solutions 866,Walker & Clarke 868,06827261,ltd,active,17290,Manufacturing,2009-02-23,16.9,Berkshire,total-exemption-full
Norwich Associates 867,Walker & Clarke 868,06827261,ltd,active,17290,Manufacturing,2009-02-23,16.9,Berkshire,total-exemption-full
Nottingham Manufacturing 870,Atlantic Media 869,13388696,ltd,active,73110,Professional Services,2021-05-11,4.7,London,micro-entity
Coventry Services 871,Liverpool Design 872,03850512,ltd,dissolved,18129,Manufacturing,1999-09-29,26.3,Nottingham,total-exemption-full
Prime Works 873,White & Allen,08763151,ltd,active,32990,Manufacturing,2013-11-05,12.2,Maldon,micro-entity
Vertex Signs 874,Southampton Marketing 875,02050400,ltd,active,28140,Manufacturing,1986-08-28,39.4,Devon,small
Green & Brown 882,Hughes & Thompson 881,01517266,ltd,active,64209,Financial Services,1980-09-12,45.4,Huddersfield,total-exemption-full
Prime International 883,VertexIndu 884,03678306,ltd,dissolved,4531,Wholesale & Retail,1998-12-03,27.2,Suffolk,total-exemption-small
Leeds Design 885,HorizonLabe,08145777,ltd,active,18129,Manufacturing,2012-07-17,13.5,London,unaudited-abridged
Bath Technologies 886,Max Productions,14422493,ltd,active,47190,Wholesale & Retail,2022-10-17,3.3,Wiltshire,total-exemption-full
Vanguard Industries 888,Norwich Signs 890,15166085,ltd,dissolved,47910,Wholesale & Retail,2023-09-26,2.4,Brighouse,micro-entity
Meridian Print 892,Nova Productions,12841797,ltd,active,96020,Other Services,2020-08-27,5.4,London,micro-entity
NFJI 893,Alpha Associates 894,12984163,ltd,dissolved,25730,Manufacturing,2020-10-29,5.3,Sidmouth,total-exemption-full
Liverpool Media 895,Western Communications 896,01628197,ltd,active,18129,Manufacturing,1982-04-08,43.8,Wiltshire,total-exemption-full
Sheffield Print 897,Bath Graphics 898,03673217,ltd,active,43999,Construction,1998-11-24,27.2,Kent,micro-entity
Nova Media 899,Liverpool Systems 900,SC547352,ltd,active,"62012,73110",Information & Communication,2016-10-10,9.3,Lothian,micro-entity
Cambridge Holdings 901,MegaSign 902,08300691,ltd,active,27900,Manufacturing,2012-11-20,13.2,Dorset,total-exemption-full
OCU 906,Brown & Hughes 907,11776991,ltd,dissolved,43991,Construction,2019-01-21,7.0,Lancashire,null
Pro Systems 908,Sterling Signs,16388049,ltd,active,45200,Wholesale & Retail,2025-04-15,0.8,South Yorkshire,
WQ 910,EXI 911,01447505,ltd,active,43220,Construction,1979-09-07,46.4,Cheltenham,unaudited-abridged
EasternSign 912,Alpha Communications,15261371,ltd,active,43999,Construction,2023-11-06,2.2,Halifax,total-exemption-full
Manchester Display 913,NorthernWork 915,12389557,ltd,active,45200,Wholesale & Retail,2020-01-07,6.1,Wirral,micro-entity
Edinburgh Systems 917,EasternComm 918,04669027,ltd,active,45200,Wholesale & Retail,2003-02-18,23.0,Oxfordshire,total-exemption-full
Edinburgh Productions 920,Wilson & Brown 640,16508676,private-limited-guarant-nsc,active,"85510,86900,93110,93199",Education,2025-06-10,0.6,Heywood,
York Group 921,Southampton Packaging 922,00872907,ltd,active,18129,Manufacturing,1966-03-03,59.9,Oxford,total-exemption-full
Vanguard Systems 923,Southampton Packaging 922,00872907,ltd,active,18129,Manufacturing,1966-03-03,59.9,Oxford,total-exemption-full
Glasgow Productions 924,DynamicSyst 925,12374449,ltd,active,"69102,69109",Professional Services,2019-12-20,6.1,London,total-exemption-full
Max International 926,Bradford Communications 929,11574814,ltd,dissolved,46420,Wholesale & Retail,2018-09-18,7.4,Chessington,null
Global Solutions 930,Pacific Media 931,00551336,ltd,active,18129,Manufacturing,1955-06-30,70.6,London,full
UrbanIndu 933,Bath Graphics 934,06041431,ltd,active,62012,Information & Communication,2007-01-04,19.1,Isle Of Wight,micro-entity
Matrix Creative 935,DeltaHold 936,01317797,ltd,insolvency-proceedings,"17230,18129",Manufacturing,1977-06-20,48.6,Salisbury,total-exemption-full
Hughes & Hall 938,,,,,,,,,,
Newcastle International 940,SouthernProd 941,10962197,ltd,active,74909,Professional Services,2017-09-14,8.4,Nottinghamshire,micro-entity
UltraAsso 942,SXZ 943,01526157,ltd,active,"18129,18140",Manufacturing,1980-11-03,45.2,Exeter,total-exemption-full
York Marketing 944,Sheffield Associates 945,11328594,ltd,active,18129,Manufacturing,2018-04-25,7.8,Hampshire,total-exemption-full
Precision Manufacturing 947,Precision Graphics 946,05590046,ltd,active,18129,Manufacturing,2005-10-12,20.3,Tunbridge Wells,total-exemption-full
Northern Print 948,Bath Solutions 952,05408553,ltd,dissolved,56102,Accommodation & Food,2005-03-31,20.8,Mitcham,dormant
Newcastle Communications 953,PrimeIndu,16501843,ltd,active,46140,Wholesale & Retail,2025-06-06,0.7,Shropshire,
Max Creative 955,Atlas Holdings 956,13724882,ltd,active,70229,Professional Services,2021-11-05,4.2,London,unaudited-abridged
Wilson & Taylor 958,Vector Labels 959,13556956,ltd,active,18129,Manufacturing,2021-08-09,4.5,Essex,total-exemption-full
White & Harris 961,Elite Labels 962,00755033,ltd,active,18129,Manufacturing,1963-03-26,62.9,Derbyshire,total-exemption-full
Phoenix Labels 964,Wood & Edwards 965,11715076,ltd,liquidation,14190,Manufacturing,2018-12-06,7.2,London,micro-entity
Glasgow Communications 967,GammaHold,08841240,ltd,active,69201,Professional Services,2014-01-13,12.1,Cullompton,micro-entity
UMNM 979,White & Wright 980,SC292727,ltd,active,58190,Information & Communication,2005-11-04,20.2,Haddington,total-exemption-full
HAX 981,Lewis & Lee 982,06119725,ltd,active,99999,International Organisations,2007-02-21,18.9,Leeds,dormant
Leeds Holdings 983,Wilson & Johnson,13587820,ltd,active,64209,Financial Services,2021-08-26,4.4,Hertfordshire,unaudited-abridged
Liverpool Productions 984,Northern Technologies 985,NF001740,oversea-company,active,,,1969-09-30,56.3,Lurgan,null
Roberts & Edwards 986,Northern Technologies 985,NF001740,oversea-company,active,,,1969-09-30,56.3,Lurgan,null
Phoenix Productions 991,Jackson & Hughes 992,16631205,ltd,active,43290,Construction,2025-08-05,0.5,Sandy,
Vertex Creative 996,Sheffield Display 997,06879935,ltd,dissolved,7487,Professional Services,2009-04-17,16.8,Birmingham,null
AtlanticWork 998,Max Signs 999,07174091,ltd,active,18129,Manufacturing,2010-03-02,15.9,Stamford,micro-entity
Davies & Evans 000,Cardiff Graphics 001,12165596,ltd,active,"69201,69202,69203,70229",Professional Services,2019-08-20,6.5,London,micro-entity
Morgan & King 002,Sterling Signs 003,12789896,ltd,active,99999,International Organisations,2020-08-04,5.5,Bristol,dormant
Southern Display 004,Bradford Signs 441,04731608,ltd,dissolved,18129,Manufacturing,2003-04-11,22.8,West Midlands,small
Morgan & Mitchell 005,Edinburgh International 006,09520979,ltd,dissolved,18129,Manufacturing,2015-04-01,10.8,Normanton,small
Edwards & Johnson 007,Continental Print 008,06204457,ltd,active,18129,Manufacturing,2007-04-05,18.8,Hertfordshire,micro-entity
Vector Signs 009,Eastern Marketing 010,14165704,ltd,dissolved,82920,Administrative Services,2022-06-10,3.6,Coventry,null
JVPQ 012,Coastal Partners 013,11622936,ltd,active,"46900,47190,47910",Wholesale & Retail,2018-10-15,7.3,Luton,micro-entity
StellarHold 014,Belfast Works 015,01797605,ltd,active,70210,Professional Services,1984-03-06,41.9,Buntingford,group
Bath Systems 018,MetroMark,14128181,private-limited-guarant-nsc,active,"01130,01250,85590",Agriculture,2022-05-24,3.7,London,total-exemption-full
Rapid International 024,Express Labels,NI610849,ltd,active,58110,Information & Communication,2012-01-25,14.0,County Down,micro-entity
Clarke & Brown 026,Rapid Creative 027,07836001,ltd,active,32990,Manufacturing,2011-11-04,14.2,Cheshire,total-exemption-full
Delta Holdings 028,Liverpool Design 029,04497764,ltd,dissolved,82990,Administrative Services,2002-07-29,23.5,Dorset,micro-entity
Johnson & Roberts 030,Manchester Holdings 031,06641009,ltd,active,"18129,73110",Manufacturing,2008-07-08,17.6,London,micro-entity
Leicester Works 032,Bath Works 033,NI024313,ltd,active,"43210,43220",Construction,1990-04-03,35.8,Belfast,medium
Urban Industries 036,CoastalWork 035,07056781,ltd,dissolved,,,2009-10-26,16.3,London,null
YGL 037,Gamma International,12392702,ltd,active,96090,Other Services,2020-01-08,6.1,Wantage,total-exemption-full
Newcastle Enterprises 038,Pro Display 039,11284578,ltd,dissolved,58190,Information & Communication,2018-03-29,7.8,Bristol,null
Dynamic Works 040,National Marketing,04891629,ltd,active,"43120,43910",Construction,2003-09-08,22.4,Nelson,total-exemption-full
York Holdings 041,SouthernAsso,13216232,ltd,active,62020,Information & Communication,2021-02-22,4.9,West Yorkshire,micro-entity
Global Systems 042,KDIK 047,NI723126,ltd,active,"46160,47910",Wholesale & Retail,2024-10-30,1.3,Belfast,
Prime Media 043,MetroProd,09805241,ltd,active,98000,Household Activities,2015-10-02,10.3,Edgware,dormant
Beta Partners 044,KDIK 047,NI723126,ltd,active,"46160,47910",Wholesale & Retail,2024-10-30,1.3,Belfast,
SummitDisp 045,SouthernAsso,13216232,ltd,active,62020,Information & Communication,2021-02-22,4.9,West Yorkshire,micro-entity
Flex Print 046,SouthernAsso,13216232,ltd,active,62020,Information & Communication,2021-02-22,4.9,West Yorkshire,micro-entity
Alpha Works 048,,,,,,,,,,
OmegaMedi 050,Glasgow Packaging 049,OC440835,llp,active,,,2022-01-28,4.0,Swindon,total-exemption-full
Southern Packaging 053,Bath Communications,14041114,ltd,active,58190,Information & Communication,2022-04-12,3.8,Tilbury,dormant
Pro Media 054,Western Media 055,16370542,ltd,active,49410,Transport & Storage,2025-04-07,0.8,Slough,
Titan Solutions 057,DeltaWork 056,12679786,ltd,active,82990,Administrative Services,2020-06-18,5.6,West Yorkshire,micro-entity
Edinburgh International 058,Mega Packaging 059,08501306,ltd,dissolved,70229,Professional Services,2013-04-23,12.8,Bedfordshire,total-exemption-small
Vertex Holdings 061,Newcastle Creative 062,13903521,ltd,dissolved,99999,International Organisations,2022-02-09,4.0,London,dormant
MB 064,Coventry Display 065,12948080,ltd,active,47910,Wholesale & Retail,2020-10-13,5.3,Lincolnshire,micro-entity
Belfast Print 066,Nova Industries 067,12498557,ltd,active,18129,Manufacturing,2020-03-04,5.9,Kent,total-exemption-full
PrimePack 068,Vector Holdings 069,07831705,ltd,active,18129,Manufacturing,2011-11-02,14.3,Surrey,total-exemption-full
Hughes & Jackson 070,,,,,,,,,,
Vector Services 080,Plymouth International 081,00885945,ltd,active,70100,Professional Services,1966-08-18,59.5,Derbyshire,small
Hall & Davies 088,Cambridge Graphics 089,04070215,ltd,dissolved,18129,Manufacturing,2000-09-07,25.4,Leicester,total-exemption-full
Sigma Holdings 090,Plymouth Solutions,15661139,ltd,active,47710,Wholesale & Retail,2024-04-19,1.8,Bedford,
Morgan & Davies 091,Premier Media 092,16702830,ltd,active,"59111,59112,59140",Information & Communication,2025-09-08,0.4,London,
Wood & Allen 094,Mega Works 095,SC695774,ltd,active,74100,Professional Services,2021-04-14,4.8,Glenrothes,total-exemption-full
Coastal Marketing 097,Nottingham Solutions 098,08085031,ltd,dissolved,,,2012-05-28,13.7,Kent,null
FURH 104,Sigma Creative 105,00349879,ltd,dissolved,32990,Manufacturing,1939-02-23,86.9,Manchester,full
Liverpool International 107,QH 108,07509157,ltd,dissolved,,,2011-01-28,15.0,Cornwall,null
Bradford Enterprises 109,Gamma Graphics 111,09638528,ltd,active,"10831,46370,47910",Manufacturing,2015-06-15,10.6,Buckinghamshire,micro-entity
EA 112,Thomas & Edwards,15197804,ltd,dissolved,"46900,77390,98000",Wholesale & Retail,2023-10-09,2.3,Peterborough,
EasternGrou 117,Gamma Labels 118,16943713,ltd,active,74909,Professional Services,2026-01-05,0.1,Lewes,
UrbanGrou 119,Swift Display 120,03887452,ltd,dissolved,17230,Manufacturing,1999-12-02,26.2,Witney,total-exemption-full
Continental Creative 121,Agile Signs 122,07471613,ltd,dissolved,99999,International Organisations,2010-12-16,15.1,Oxfordshire,micro-entity
Metro Creative 123,Newcastle Holdings 124,01828982,private-unlimited,active,18129,Manufacturing,1984-06-29,41.6,Leeds,micro-entity
Coastal Services 125,Prime Systems 126,11573659,ltd,dissolved,82990,Administrative Services,2018-09-17,7.4,Cardiff,micro-entity
Leicester Creative 127,National Signs 128,09233810,ltd,active,70229,Professional Services,2014-09-24,11.4,Newmarket,micro-entity
Norwich Industries 129,Leeds Enterprises,11320549,ltd,active,70229,Professional Services,2018-04-20,7.8,West Sussex,total-exemption-full
Atlantic Marketing 133,Newcastle Productions 134,02569543,ltd,active,17230,Manufacturing,1990-12-19,35.1,Gloucestershire,total-exemption-full
QuantumIndu 137,Nottingham Productions 138,02670813,ltd,dissolved,22290,Manufacturing,1991-12-12,34.1,London,small
XKBZ 139,Green & Jones 140,06167025,ltd,active,46310,Wholesale & Retail,2007-03-19,18.9,Kent,full
Edinburgh Display 141,MegaDesi 142,06529976,ltd,liquidation,22290,Manufacturing,2008-03-11,17.9,Kent,total-exemption-full
Cardiff Holdings 151,MH 147,15445946,ltd,active,10710,Manufacturing,2024-01-26,2.0,Ashford,total-exemption-full
Chester Print 152,AtlasPack 153,13624537,ltd,active,47620,Wholesale & Retail,2021-09-15,4.4,Bristol,medium
WesternMark 154,Agile Communications 156,10828852,ltd,active,90030,Arts & Entertainment,2017-06-21,8.6,Buckinghamshire,dormant
YRXC 159,Agile Graphics 160,LP009974,limited-partnership,active,,,2004-11-08,21.2,,
Agile Graphics 160,Agile Graphics 160,LP009974,limited-partnership,active,,,2004-11-08,21.2,,
Manchester Communications 162,Evans & Wilson 163,15529307,ltd,dissolved,"58110,58120,58130",Information & Communication,2024-02-28,1.9,London,
OQ 164,Morgan & Wood 165,07225265,ltd,active,73110,Professional Services,2010-04-16,15.8,London,total-exemption-full
Johnson & Jones 169,Central Signs 170,03586531,private-limited-guarant-nsc,active,91030,Arts & Entertainment,1998-06-18,27.6,Berkshire,micro-entity
Oxford International 172,NorthernSign 173,06401875,ltd,active,73110,Professional Services,2007-10-17,18.3,Oxfordshire,total-exemption-full
EW 175,National Enterprises 413,14387928,ltd,dissolved,74909,Professional Services,2022-09-30,3.3,Essex,dormant
Atlas Design 177,Smith & Hughes 149,12773280,ltd,active,82920,Administrative Services,2020-07-28,5.5,Hampshire,dormant
Meridian Systems 178,Roberts & Edwards,15262806,ltd,dissolved,"47910,62090",Wholesale & Retail,2023-11-06,2.2,London,
Pinnacle Services 179,Roberts & Edwards,15262806,ltd,dissolved,"47910,62090",Wholesale & Retail,2023-11-06,2.2,London,
Chester Print 180,NationalAsso,08100610,ltd,dissolved,21200,Manufacturing,2012-06-11,13.6,Kent,total-exemption-small
Ultra Communications 181,JLQ 182,03873512,ltd,active,18129,Manufacturing,1999-11-09,26.2,South Glamorgan,total-exemption-full
NexusMark 184,White & Wood 185,03183931,ltd,dissolved,74990,Professional Services,1996-04-10,29.8,London,dormant
Oxford Signs 188,Cambridge Creative 189,04872997,ltd,active,82990,Administrative Services,2003-08-20,22.5,Nottingham,group
SouthernSolu 190,Northern Works 192,04849432,ltd,dissolved,82990,Administrative Services,2003-07-29,22.5,Birmingham,micro-entity
Sterling Enterprises 194,Sterling Enterprises 194,08552976,ltd,dissolved,18129,Manufacturing,2013-06-03,12.7,Southampton,micro-entity
Gamma Communications 202,QHX 203,00204800,ltd,active,"18129,18130,18140",Manufacturing,1925-03-26,100.9,Oxon,total-exemption-full
Taylor & Green 214,Cardiff Group,13147706,private-limited-guarant-nsc,active,64209,Financial Services,2021-01-20,5.0,Egham,dormant
VertexServ 220,Hughes & Lewis 221,05216650,ltd,administration,18129,Manufacturing,2004-08-27,21.4,Manchester,full
Glasgow Creative 223,Horizon Group,16269546,ltd,active,43341,Construction,2025-02-22,0.9,Sale,
RapidMedi 224,Atlantic Solutions 087,10633653,ltd,dissolved,82990,Administrative Services,2017-02-22,8.9,Hartlepool,micro-entity
ZBYT 226,Atlantic Productions,14947848,ltd,dissolved,99999,International Organisations,2023-06-20,2.6,Macclesfield,
Atlantic Holdings 227,EZE,06729521,ltd,active,68209,Real Estate,2008-10-21,17.3,Cheshire,total-exemption-full
EMO 228,EJ 229,04680112,ltd,active,74100,Professional Services,2003-02-27,22.9,Warwickshire,total-exemption-full
SouthernDisp 231,Belfast Group 232,13337051,ltd,active,63120,Information & Communication,2021-04-15,4.8,London,micro-entity
Apex Creative 233,Flex Holdings 234,15078847,ltd,active,96090,Other Services,2023-08-17,2.5,London,dormant
AtlanticSolu 236,Brighton Holdings 237,07930634,ltd,dissolved,,,2012-01-31,14.0,Lancashire,
Wood & Edwards 240,Leicester Holdings 241,00887235,ltd,dissolved,99999,International Organisations,1966-09-07,59.4,Somerset,
Clarke & King 242,Elite Technologies 243,13072958,ltd,active,"64205,64999,66190",Financial Services,2020-12-09,5.1,Doncaster,micro-entity
Leicester Solutions 244,Nova Partners 247,16460852,ltd,active,47910,Wholesale & Retail,2025-05-20,0.7,Sheffield,
Sheffield Industries 245,Brighton Creative 246,06308710,ltd,active,82990,Administrative Services,2007-07-10,18.6,Northamptonshire,total-exemption-full
Flex Manufacturing 248,Northern Marketing 249,SC342381,ltd,dissolved,,,2008-05-06,17.7,Aberdeenshire,null
Taylor & Green 250,Flex Solutions 251,10428159,ltd,dissolved,82190,Administrative Services,2016-10-14,9.3,Greater Manchester,total-exemption-full
Eastern Industries 253,RapidWork 252,12598282,ltd,dissolved,47910,Wholesale & Retail,2020-05-12,5.7,South Croydon,null
Mega Systems 255,Dynamic Productions 256,07100247,ltd,active,18129,Manufacturing,2009-12-09,16.2,Warwickshire,micro-entity
Pinnacle Print 257,Northern Manufacturing 258,10946344,ltd,active,86900,Health & Social,2017-09-05,8.4,West Sussex,total-exemption-full
SummitDisp 266,AlphaComm 263,12367398,ltd,dissolved,95220,Other Services,2019-12-17,6.1,Leigh-On-Sea,null
PinnacleSyst 272,PinnacleSyst 272,RC000678,royal-charter,active,,,,,,null
JWU 286,PrecisionIndu,04814102,ltd,dissolved,18129,Manufacturing,2003-06-27,22.6,North Yorkshire,micro-entity
Green & Wood 287,Matrix Productions 288,SC430998,ltd,active,22290,Manufacturing,2012-08-23,13.4,Paisley,total-exemption-full
Roberts & Davies 290,ASYX 291,09516412,ltd,active,"68100,68209",Real Estate,2015-03-28,10.9,Nottinghamshire,dormant
Nexus Labels 296,Eastern Design 297,02090031,ltd,dissolved,,,1987-01-15,39.0,Hampshire,total-exemption-full
National Enterprises 302,VectorDisp 306,00282204,plc,active,"64202,64204",Financial Services,1933-12-01,92.2,Worcester,group
Oxford Labels 304,Continental Services 305,01178145,ltd,active,46410,Wholesale & Retail,1974-07-22,51.5,Worcestershire,audit-exemption-subsidiary
EZM 307,Lee & Jackson,02217564,ltd,dissolved,46499,Wholesale & Retail,1988-02-04,38.0,Manchester,total-exemption-full
Global Marketing 308,Royal Communications 571,16744460,ltd,active,43220,Construction,2025-09-26,0.4,Gravesend,
Birmingham Technologies 311,BZ 312,12306501,ltd,dissolved,"59112,62012,74100,74202",Information & Communication,2019-11-08,6.2,West Midlands,micro-entity
Rapid Packaging 313,Continental Technologies 314,13925399,ltd,active,47730,Wholesale & Retail,2022-02-18,4.0,Norwich,total-exemption-full
SwiftPart 316,VectorHold 317,SC374012,private-limited-guarant-nsc,dissolved,"85520,85590",Education,2010-03-02,15.9,Moray,total-exemption-small
Bristol Solutions 324,Elite Works,08458474,ltd,active,69202,Professional Services,2013-03-22,12.9,London,micro-entity
Ultra Industries 325,Agile Enterprises 326,11987721,ltd,liquidation,74100,Professional Services,2019-05-09,6.7,London,dormant
Atlas International 327,OmegaDisp 328,09690376,ltd,liquidation,74100,Professional Services,2015-07-16,10.6,London,total-exemption-full
ExpressInte 339,Oxford International 340,01469561,ltd,dissolved,18129,Manufacturing,1979-12-28,46.1,Birmingham,total-exemption-small
Southampton Display 341,Stellar Display 343,01403566,ltd,active,46900,Wholesale & Retail,1978-12-04,47.2,Warwick,full
Edinburgh Enterprises 344,Vector International,06191232,ltd,active,96090,Other Services,2007-03-29,18.9,Essex,total-exemption-full
Morgan & Roberts 345,Summit Productions 346,14561370,ltd,dissolved,"46420,47710",Wholesale & Retail,2022-12-29,3.1,Preston,dormant
Metro Manufacturing 347,SwiftPrin 348,02793717,ltd,active,59200,Information & Communication,1993-02-25,32.9,London,full
FlexIndu 349,Continental Manufacturing 350,04675143,ltd,active,18129,Manufacturing,2003-02-21,22.9,Warwickshire,total-exemption-full
JRG 351,Wood & Taylor 352,01995758,ltd,dissolved,18129,Manufacturing,1986-03-05,39.9,Norwich,total-exemption-full
WC 353,Dynamic Industries 354,07401582,ltd,active,74100,Professional Services,2010-10-08,15.3,Warwick,unaudited-abridged
Eastern Packaging 358,Meridian Productions 672,14718622,ltd,active,"43290,43320",Construction,2023-03-09,2.9,Leeds,unaudited-abridged
Premier Design 360,,,,,,,,,,
Evans & Walker 361,Norwich International 362,03300270,ltd,active,73110,Professional Services,1997-01-09,29.1,Oxfordshire,full
Agile Associates 363,Royal Productions 357,08282524,ltd,dissolved,47710,Wholesale & Retail,2012-11-06,13.2,Warwickshire,total-exemption-full
Continental Services 364,DeltaGrou 167,14055539,ltd,dissolved,58130,Information & Communication,2022-04-20,3.8,Hungerford,null
Stellar Graphics 366,Express Packaging 367,04224184,ltd,active,46900,Wholesale & Retail,2001-05-29,24.7,Middx,total-exemption-full
VCIB 369,RoyalLabe 370,07388868,ltd,active,43210,Construction,2010-09-28,15.3,Oxford,total-exemption-full
York Marketing 375,Norwich Communications 376,02977781,ltd,dissolved,99999,International Organisations,1994-10-11,31.3,Leeds,dormant
Baker & Davies 378,ContinentalProd 381,06919471,ltd,dissolved,56302,Accommodation & Food,2009-05-29,16.7,Manchester,total-exemption-small
Newcastle International 379,YGQV 380,05946767,ltd,active,74100,Professional Services,2006-09-26,19.4,Warwickshire,total-exemption-full
National Creative 383,AlphaWork 904,12643459,ltd,active,"68100,68209,68320",Real Estate,2020-06-03,5.7,Pulborough,micro-entity
Birmingham Marketing 403,Wood & Morgan 404,10652700,ltd,active,99999,International Organisations,2017-03-06,8.9,Wiltshire,dormant
MCP 405,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
EasternIndu 406,CJJ,03628042,ltd,active,98000,Household Activities,1998-09-08,27.4,,micro-entity
GammaGrou 408,DE 409,05467224,ltd,dissolved,96020,Other Services,2005-05-31,20.7,Oxfordshire,micro-entity
KWB 410,,,,,,,,,,
Cardiff Associates 415,Rapid Graphics 416,09096001,ltd,active,32300,Manufacturing,2014-06-20,11.6,Shropshire,total-exemption-full
MaxGrap 417,Agile Industries,09260925,ltd,active,69201,Professional Services,2014-10-13,11.3,Suffolk,dormant
Lee & Jackson 418,Precision Packaging 419,15324517,ltd,active,"32990,62012",Manufacturing,2023-12-03,2.2,Poole,micro-entity
Mega Manufacturing 420,GammaIndu 432,12362447,ltd,dissolved,47710,Wholesale & Retail,2019-12-13,6.1,Lancashire,null
Birmingham Solutions 429,Plymouth Graphics,15859611,ltd,active,"69201,69202,69203",Professional Services,2024-07-26,1.5,Uxbridge,
Green & Taylor 430,Royal Signs,NI711394,ltd,dissolved,"47710,74202,74209",Wholesale & Retail,2024-03-07,1.9,Belfast,
Bristol Works 433,Brighton Solutions 448,09774968,ltd,active,"68100,68209",Real Estate,2015-09-14,10.4,London,total-exemption-full
Pro Solutions 434,Lee & Martin 435,13970986,ltd,active,"73110,74201",Professional Services,2022-03-11,3.9,Market Harborough,micro-entity
Pacific Services 436,Davies & Hughes 293,07712583,ltd,active,59111,Information & Communication,2011-07-20,14.5,Staffordshire,total-exemption-full
Walker & Wood 437,Vector Design,15474621,ltd,dissolved,"46510,47410,47650,62030",Wholesale & Retail,2024-02-09,2.0,Sheffield,
Sterling Group 438,Vector Design,15474621,ltd,dissolved,"46510,47410,47650,62030",Wholesale & Retail,2024-02-09,2.0,Sheffield,
Norwich Holdings 439,PSX,16707870,ltd,active,"56103,56290",Accommodation & Food,2025-09-10,0.4,Broadway,
Ultra Productions 443,Nexus Creative,12377660,ltd,dissolved,55100,Accommodation & Food,2019-12-24,6.1,London,null
FSE 449,Glasgow Enterprises 450,10088959,ltd,dissolved,"73200,90020",Professional Services,2016-03-29,9.8,London,
Superior Labels 453,NationalInte 454,15356909,ltd,active,96090,Other Services,2023-12-16,2.1,London,micro-entity
Stellar Group 462,Mitchell & Thomas 463,SL021301,limited-partnership,active,,,2015-07-02,10.6,Glasgow,null
Ultra Holdings 464,Bristol Display 465,01453367,ltd,active,18129,Manufacturing,1979-10-10,46.3,Pontypridd,full
